timestamp,pulp_flow_m3h,consistency_pct,steam_pressure_bar,machine_speed_mpm,basis_weight_gsm,basis_weight_dev,is_basis_weight_off_spec,active_grade_id,pulp_flow_m3h_roll_mean_3,pulp_flow_m3h_roll_std_3,pulp_flow_m3h_roll_mean_5,pulp_flow_m3h_roll_std_5,consistency_pct_roll_mean_3,consistency_pct_roll_std_3,consistency_pct_roll_mean_5,consistency_pct_roll_std_5,steam_pressure_bar_roll_mean_3,steam_pressure_bar_roll_std_3,steam_pressure_bar_roll_mean_5,steam_pressure_bar_roll_std_5,machine_speed_mpm_roll_mean_3,machine_speed_mpm_roll_std_3,machine_speed_mpm_roll_mean_5,machine_speed_mpm_roll_std_5,pulp_flow_m3h_diff_1m,consistency_pct_diff_1m,steam_pressure_bar_diff_1m,machine_speed_mpm_diff_1m,pulp_flow_m3h_lag_1,pulp_flow_m3h_lag_2,consistency_pct_lag_1,consistency_pct_lag_2,steam_pressure_bar_lag_1,steam_pressure_bar_lag_2,machine_speed_mpm_lag_1,machine_speed_mpm_lag_2
2026-07-26 12:00:00,-0.122338,-1.272549,-0.915438,0.248718,79.71173167616777,-0.2882683238322272,0.0,0,-0.215268,-0.216557,-0.282784,-0.281033,-2.082402,-1.55517,-2.650531,-2.064333,-1.629624,-1.862532,-2.154736,-2.551295,0.409399,-0.283475,0.482608,-0.357385,-2.1e-05,-0.000313,-0.000964,1.1e-05,-0.122307,-0.122216,-1.272241,-1.267232,-0.913733,-0.915056,0.248703,0.248651
2026-07-26 12:00:00,-0.102741,-0.01011,0.028349,0.264162,,,,0,-0.198021,-0.20249,-0.260123,-0.266754,-1.048855,0.147527,-1.333438,0.021493,-0.789267,-0.470054,-1.043965,-0.743987,0.422111,-0.271807,0.497593,-0.34528,0.013732,0.936791,0.666462,0.011244,-0.122307,-0.122216,-1.272241,-1.267232,-0.913733,-0.915056,0.248703,0.248651
2026-07-26 12:00:10,-0.083652,-0.686996,-0.72146,0.320371,79.9584199408901,-0.0415800591099042,0.0,0,-0.181072,-0.19692,-0.237854,-0.261101,-1.072479,-0.351243,-1.363543,-0.589506,-0.954277,-0.821166,-1.262072,-1.199698,0.457192,-0.243184,0.538949,-0.315586,0.013376,-0.502334,-0.531257,0.040898,-0.10271,-0.122216,-0.009728,-1.267232,0.029693,-0.915056,0.264146,0.248651
2026-07-26 12:00:20,-0.083652,0.787168,1.060403,0.228676,80.80590132958032,0.8059013295803226,0.0,0,-0.158373,-0.205369,-0.22672,-0.261972,0.049658,-0.148295,-0.610919,0.008852,0.2178,0.004745,-0.322189,-0.122562,0.446193,-0.234074,0.515141,-0.313746,-2.1e-05,1.093421,1.258904,-0.066689,-0.083622,-0.10262,-0.686074,-0.006949,-0.719891,0.029045,0.320354,0.264093
2026-07-26 12:00:30,-0.099985,-1.695947,0.593122,0.357265,80.04387330649942,0.043873306499421,0.0,0,-0.156756,-0.206984,-0.227594,-0.264503,-0.868722,0.825166,-1.194202,0.249038,0.552922,0.066589,0.021836,-0.270151,0.497282,-0.212733,0.550764,-0.29824,-0.011484,-1.842393,-0.331299,0.093549,-0.083622,-0.083532,0.787458,-0.682101,1.060969,-0.721075,0.228659,0.3203
2026-07-26 12:00:40,-0.106825,-2.353653,-0.725119,0.292619,80.01876525111255,0.0187652511125548,0.0,0,-0.170352,-0.204471,-0.220418,-0.269728,-1.778244,1.602559,-1.645777,0.881106,0.551221,0.070579,0.111777,-0.404793,0.482053,-0.21478,0.567804,-0.302387,-0.004822,-0.487608,-0.932523,-0.047013,-0.099954,-0.083532,-1.694281,0.788829,0.59403,1.061059,0.357248,0.228607
2026-07-26 12:00:50,-0.083356,-0.469194,-1.226448,0.348983,80.5975644898284,0.5975644898284003,0.0,0,-0.170178,-0.204304,-0.211452,-0.269555,-2.463338,0.26792,-1.837696,0.754693,-0.804577,0.098508,-0.479585,0.094936,0.548072,-0.245891,0.600724,-0.299853,0.01645,1.397311,-0.355618,0.041012,-0.106794,-0.099864,-2.352591,-1.688527,-0.722756,0.593786,0.292603,0.357194
2026-07-26 12:01:00,-0.107536,-0.902792,0.233754,0.209313,79.67863942716411,-0.3213605728358857,0.0,0,-0.174608,-0.202589,-0.222499,-0.268645,-2.032201,0.326396,-1.928011,0.742051,-1.01892,-0.314448,-0.02988,0.004312,0.466886,-0.208399,0.55762,-0.28252,-0.016992,-0.321606,1.03125,-0.101588,-0.083325,-0.106703,-0.46784,-2.345674,-1.22407,-0.723942,0.348967,0.29255
2026-07-26 12:01:00,-0.100672,-0.371004,-0.162785,0.264162,,,,0,-0.170998,-0.203907,-0.230371,-0.270986,-0.948453,-1.015122,-2.409691,-0.083852,-0.685499,-0.286518,-0.605503,-0.573095,0.451269,-0.208291,0.571393,-0.289309,0.004796,0.394609,-0.28131,0.039909,-0.107505,-0.083235,-0.902505,-0.464252,0.234994,-1.225615,0.209297,0.348913
2026-07-26 12:01:10,-0.118821,-1.363438,2.221844,0.286605,80.32082479519967,0.3208247951996696,0.0,0,-0.191808,-0.207254,-0.239084,-0.267639,-1.43865,-0.609227,-2.274219,-0.176555,1.360958,0.804722,0.161244,1.040019,0.417038,-0.240992,0.543968,-0.301389,-0.012759,-0.73661,1.68449,0.016337,-0.100641,-0.107414,-0.370446,-0.89815,-0.161284,0.234493,0.264146,0.209245
2026-07-26 12:01:20,-0.109415,0.70221,0.388716,0.237077,80.55096279684074,0.5509627968407358,0.0,0,-0.19291,-0.207343,-0.240281,-0.267414,-0.561611,0.415831,-0.99852,-0.269258,1.452819,0.742878,0.685151,0.835467,0.432276,-0.256978,0.522407,-0.298439,0.006581,1.532521,-1.296635,-0.036017,-0.11879,-0.100551,-1.362421,-0.36703,2.221153,-0.162068,0.286589,0.264093
2026-07-26 12:01:30,-0.113071,0.626373,-0.449041,0.289075,80.91066258332832,0.9106625833283176,0.0,0,-0.200185,-0.211743,-0.254026,-0.274109,-0.018261,0.677255,-0.539419,0.076272,1.282706,0.988257,1.05166,0.281363,0.445944,-0.252134,0.499154,-0.319685,-0.002587,-0.05654,-0.593406,0.037836,-0.109384,-0.1187,0.70269,-1.357253,0.389685,2.222074,0.23706,0.286536
2026-07-26 12:01:40,-0.090735,0.556327,0.339263,-8.168444,79.75780316838534,-0.2421968316146632,0.0,0,-0.183705,-0.204395,-0.246255,-0.269675,1.030051,-1.417578,0.066443,0.021493,0.166766,-0.881014,1.101128,0.271006,-4.193746,4.91769,-2.752579,3.825221,0.015655,-0.052524,0.55635,-6.152132,-0.11304,-0.109294,0.626939,0.70421,-0.447749,0.389295,0.289058,0.237008
2026-07-26 12:01:50,-0.103482,0.336848,-0.608414,0.207864,80.19255057782881,0.1925505778288112,0.0,0,-0.180225,-0.205182,-0.247554,-0.269991,0.829248,-1.266227,0.36373,-0.033286,-0.425226,-0.803211,0.889766,0.496272,-4.209774,4.908788,-2.774429,3.818353,-0.008968,-0.163637,-0.671092,6.09308,-0.090704,-0.11295,0.556599,0.628593,0.340031,-0.448738,-8.168429,0.289005
2026-07-26 12:02:00,-0.08215,0.336848,-0.038097,0.223319,79.08863886102323,-0.9113611389767726,0.0,0,-0.162082,-0.205661,-0.230593,-0.267639,0.672739,-1.314384,1.071197,-1.67245,-0.181965,-0.86705,-0.173786,-1.329161,-4.24586,4.888332,-2.798992,3.810474,0.014951,-0.000313,0.402329,0.011253,-0.103451,-0.090614,0.336561,0.558377,-0.60626,0.339605,0.207846,-8.168382
2026-07-26 12:02:00,-0.103776,0.170337,0.219483,0.252154,,,,0,-0.169734,-0.203967,-0.227984,-0.268492,0.463077,-1.372861,0.849173,-1.634526,-0.253412,-0.978767,-0.252484,-1.435321,0.374927,-0.259457,-2.793142,3.812345,-0.0152,-0.123476,0.18143,0.020986,-0.082119,-0.103361,0.336561,0.338728,-0.037149,-0.607363,0.223303,0.207794
2026-07-26 12:02:10,-0.115473,0.187668,2.457545,0.314026,79.48238263465255,-0.5176173653474478,0.0,0,-0.176769,-0.199394,-0.229095,-0.267732,0.380393,-1.37974,0.668543,-1.701947,1.566794,1.002222,1.114619,0.61279,0.433181,-0.233959,-2.783457,3.815539,-0.008231,0.013074,1.581133,0.045018,-0.103745,-0.082029,0.170631,0.338728,0.22067,-0.037844,0.252138,0.223251
